Beat,Beat Time,True Label,Predicted Label,Filtered Label
0,0.23219954648526078,intro,no_function,no_function
1,0.8359183673469388,intro,intro,intro
2,1.3931972789115645,intro,intro,intro
3,1.9504761904761905,intro,intro,intro
4,2.507755102040816,intro,intro,intro
5,3.111473922902494,intro,intro,intro
6,3.7151927437641725,intro,intro,intro
7,4.2260317460317465,intro,intro,intro
8,4.783310657596372,intro,intro,intro
9,5.38702947845805,intro,intro,intro
10,5.944308390022676,intro,intro,intro
11,6.501587301587302,intro,no_function,intro
12,7.058866213151927,intro,no_function,intro
13,7.616145124716553,intro,no_function,intro
14,8.266303854875284,intro,no_function,intro
15,8.870022675736962,intro,intro,intro
16,9.427301587301587,intro,intro,intro
17,9.93814058956916,intro,intro,intro
18,10.448979591836734,intro,intro,intro
19,11.00625850340136,intro,intro,intro
20,11.656417233560092,intro,intro,intro
21,12.26013605442177,intro,intro,intro
22,12.817414965986394,intro,intro,intro
23,13.421133786848072,intro,intro,intro
24,14.02485260770975,intro,intro,intro
25,14.582131519274377,intro,no_function,intro
26,15.232290249433106,intro,intro,intro
27,15.836009070294784,intro,intro,intro
28,16.39328798185941,intro,intro,intro
29,17.04344671201814,intro,intro,intro
30,17.600725623582765,intro,intro,intro
31,18.15800453514739,intro,intro,intro
32,18.668843537414965,intro,intro,intro
33,19.22612244897959,intro,no_function,intro
34,19.783401360544218,intro,no_function,intro
35,20.29424036281179,intro,no_function,intro
36,20.851519274376418,intro,intro,intro
37,21.408798185941045,intro,no_function,intro
38,21.91963718820862,intro,no_function,intro
39,22.430476190476192,intro,no_function,intro
40,22.987755102040815,intro,intro,intro
41,23.54503401360544,intro,intro,intro
42,24.14875283446712,intro,no_function,no_function
43,24.752471655328797,intro,no_function,no_function
44,25.356190476190477,intro,no_function,no_function
45,25.913469387755104,intro,no_function,no_function
46,26.470748299319727,intro,no_function,no_function
47,27.028027210884353,intro,intro,no_function
48,27.58530612244898,intro,intro,no_function
49,28.096145124716553,intro,intro,no_function
50,28.69986394557823,intro,no_function,no_function
51,29.257142857142856,intro,no_function,no_function
52,29.814421768707483,intro,no_function,no_function
53,30.418140589569163,intro,no_function,no_function
54,31.02185941043084,intro,no_function,no_function
55,31.62557823129252,intro,no_function,no_function
56,32.182857142857145,intro,intro,no_function
57,32.78657596371882,intro,no_function,no_function
58,33.3902947845805,intro,no_function,no_function
59,33.94757369614513,intro,no_function,no_function
60,34.50485260770975,intro,no_function,no_function
61,35.062131519274374,intro,no_function,no_function
62,35.619410430839004,intro,no_function,no_function
63,36.13024943310658,intro,intro,no_function
64,36.6875283446712,intro,no_function,no_function
65,37.24480725623583,intro,intro,no_function
66,37.8485260770975,intro,no_function,no_function
67,38.45224489795918,intro,no_function,no_function
68,39.05596371882086,intro,intro,no_function
69,39.613242630385486,intro,no_function,no_function
70,40.170521541950116,intro,intro,no_function
71,40.72780045351474,intro,no_function,no_function
