Beat,Beat Time,True Label,Predicted Label,Filtered Label
0,1.486077097505669,silence,silence,silence
1,1.811156462585034,intro,intro,intro
2,2.136235827664399,intro,intro,intro
3,2.461315192743764,intro,intro,intro
4,2.786394557823129,intro,intro,intro
5,3.111473922902494,intro,intro,intro
6,3.436553287981859,intro,intro,intro
7,3.7616326530612243,intro,intro,intro
8,4.08671201814059,intro,intro,intro
9,4.4117913832199545,intro,intro,intro
10,4.73687074829932,intro,intro,intro
11,5.061950113378685,intro,intro,intro
12,5.38702947845805,intro,intro,intro
13,5.712108843537415,intro,intro,intro
14,6.03718820861678,intro,intro,intro
15,6.362267573696145,intro,intro,intro
16,6.6873469387755105,intro,intro,intro
17,7.012426303854875,intro,intro,intro
18,7.337505668934241,intro,intro,intro
19,7.662585034013605,intro,no_function,intro
20,7.987664399092971,intro,no_function,intro
21,8.312743764172335,intro,chorus,intro
22,8.6378231292517,intro,intro,intro
23,8.962902494331066,intro,intro,intro
24,9.287981859410431,intro,intro,intro
25,9.613061224489796,intro,intro,intro
26,9.93814058956916,intro,intro,intro
27,10.263219954648527,intro,intro,intro
28,10.588299319727891,intro,intro,intro
29,10.913378684807256,intro,verse,intro
30,11.23845804988662,intro,intro,intro
31,11.563537414965987,intro,intro,intro
32,11.888616780045352,intro,intro,intro
33,12.213696145124716,intro,solo,solo
34,12.538775510204081,intro,solo,solo
35,12.863854875283447,intro,solo,solo
36,13.188934240362812,intro,solo,solo
37,13.514013605442177,intro,solo,solo
38,13.839092970521541,intro,solo,solo
39,14.164172335600908,intro,solo,solo
40,14.489251700680272,intro,solo,solo
41,14.814331065759637,intro,solo,solo
42,15.139410430839002,intro,solo,solo
43,15.464489795918368,intro,solo,solo
44,15.789569160997733,intro,solo,solo
45,16.114648526077097,intro,solo,solo
46,16.439727891156462,intro,solo,solo
47,16.764807256235827,intro,chorus,chorus
48,17.08988662131519,intro,intro,intro
49,17.41496598639456,intro,intro,intro
50,17.740045351473924,intro,no_function,intro
51,18.06512471655329,intro,no_function,intro
52,18.390204081632653,intro,no_function,intro
53,18.715283446712018,intro,no_function,intro
54,19.040362811791383,intro,intro,intro
55,19.365442176870747,intro,intro,intro
56,19.690521541950112,intro,intro,intro
57,20.01560090702948,intro,intro,intro
58,20.340680272108845,intro,intro,intro
59,20.66575963718821,intro,intro,intro
60,21.037278911564627,intro,intro,intro
61,21.408798185941045,intro,intro,intro
62,21.73387755102041,intro,verse,verse
63,22.058956916099774,intro,verse,verse
64,22.38403628117914,intro,solo,solo
65,22.709115646258503,intro,solo,solo
66,23.034195011337868,intro,solo,solo
67,23.359274376417233,intro,solo,solo
68,23.684353741496597,intro,solo,solo
69,24.009433106575965,intro,solo,solo
70,24.33451247165533,intro,intro,intro
71,24.659591836734695,intro,intro,intro
72,24.98467120181406,intro,intro,intro
73,25.309750566893424,intro,no_function,no_function
74,25.63482993197279,intro,no_function,no_function
75,25.959909297052153,intro,no_function,no_function
76,26.284988662131518,intro,no_function,no_function
77,26.610068027210886,intro,no_function,no_function
78,26.93514739229025,intro,no_function,no_function
79,27.260226757369615,intro,intro,no_function
80,27.58530612244898,intro,intro,no_function
81,27.910385487528345,intro,intro,no_function
82,28.23546485260771,intro,no_function,no_function
83,28.560544217687074,intro,intro,intro
84,28.88562358276644,intro,intro,intro
85,29.210702947845807,intro,intro,intro
86,29.53578231292517,intro,intro,intro
87,29.860861678004536,intro,chorus,intro
88,30.1859410430839,intro,verse,intro
89,30.511020408163265,intro,verse,intro
90,30.83609977324263,intro,no_function,intro
91,31.161179138321994,intro,intro,intro
92,31.48625850340136,intro,intro,intro
93,31.811337868480727,intro,intro,intro
94,32.13641723356009,intro,intro,intro
95,32.46149659863946,intro,verse,intro
96,32.78657596371882,intro,verse,intro
97,33.111655328798186,intro,intro,intro
98,33.436734693877554,intro,intro,intro
99,33.761814058956915,intro,intro,intro
100,34.08689342403628,intro,intro,intro
101,34.411972789115644,intro,intro,intro
102,34.73705215419501,intro,intro,intro
103,35.062131519274374,intro,intro,intro
104,35.38721088435374,intro,intro,intro
105,35.71229024943311,intro,intro,intro
106,36.03736961451247,intro,intro,intro
107,36.36244897959184,intro,intro,intro
108,36.6875283446712,intro,intro,intro
109,37.01260770975057,intro,intro,intro
110,37.33768707482993,intro,intro,intro
111,37.6627664399093,intro,intro,intro
112,37.98784580498866,intro,intro,intro
113,38.31292517006803,intro,intro,intro
114,38.638004535147395,intro,intro,intro
115,38.963083900226756,intro,intro,intro
116,39.288163265306125,intro,intro,intro
117,39.613242630385486,intro,intro,intro
118,39.938321995464854,intro,intro,intro
119,40.263401360544215,intro,intro,intro
120,40.58848072562358,intro,intro,intro
121,40.91356009070295,intro,intro,intro
122,41.23863945578231,intro,intro,intro
123,41.517278911564624,intro,intro,intro
124,41.795918367346935,intro,intro,intro
125,42.120997732426304,intro,intro,intro
126,42.44607709750567,intro,intro,intro
127,42.77115646258503,intro,intro,intro
128,43.0962358276644,intro,intro,intro
129,43.42131519274376,intro,intro,intro
130,43.74639455782313,intro,intro,intro
131,44.07147392290249,intro,intro,intro
132,44.35011337868481,intro,intro,intro
133,44.67519274376417,intro,intro,intro
134,45.00027210884354,intro,intro,intro
135,45.3253514739229,intro,intro,intro
136,45.65043083900227,intro,intro,intro
137,45.97551020408163,intro,intro,intro
138,46.300589569161,intro,intro,intro
139,46.625668934240366,intro,intro,intro
140,46.95074829931973,intro,intro,intro
141,47.275827664399095,intro,intro,intro
142,47.600907029478456,intro,intro,intro
143,47.925986394557825,intro,intro,intro
144,48.251065759637186,intro,intro,intro
145,48.576145124716554,intro,intro,intro
146,48.901224489795915,intro,intro,intro
147,49.22630385487528,intro,intro,intro
148,49.55138321995465,intro,intro,intro
149,49.87646258503401,intro,intro,intro
150,50.20154195011338,intro,intro,intro
151,50.52662131519274,intro,intro,intro
152,50.85170068027211,intro,intro,intro
153,51.17678004535147,intro,intro,intro
