Beat,Beat Time,True Label,Predicted Label,Filtered Label
0,0.23219954648526078,no_function,no_function,no_function
1,0.603718820861678,intro,intro,intro
2,0.9287981859410431,intro,intro,intro
3,1.3003174603174603,intro,intro,intro
4,1.6718367346938776,intro,intro,intro
5,1.9969160997732427,intro,intro,intro
6,2.3219954648526078,intro,intro,intro
7,2.693514739229025,intro,intro,intro
8,3.0650340136054424,intro,intro,intro
9,3.3901133786848074,intro,intro,intro
10,3.7616326530612243,intro,intro,intro
11,4.08671201814059,intro,intro,intro
12,4.458231292517007,intro,intro,intro
13,4.829750566893424,intro,intro,intro
14,5.154829931972789,intro,intro,intro
15,5.526349206349207,intro,intro,intro
16,5.851428571428571,intro,intro,intro
17,6.222947845804988,intro,intro,intro
18,6.594467120181406,intro,intro,intro
19,6.965986394557823,intro,intro,intro
20,7.291065759637188,intro,intro,intro
21,7.662585034013605,intro,intro,intro
22,8.034104308390022,intro,intro,intro
23,8.40562358276644,intro,intro,intro
24,8.777142857142858,intro,intro,intro
25,9.148662131519274,intro,intro,intro
26,9.47374149659864,intro,intro,intro
27,9.845260770975056,intro,intro,intro
28,10.216780045351474,intro,intro,intro
29,10.541859410430838,intro,intro,intro
30,10.913378684807256,intro,intro,intro
31,11.284897959183674,intro,intro,intro
32,11.609977324263038,intro,intro,intro
33,11.981496598639456,intro,intro,intro
34,12.353015873015874,intro,intro,intro
35,12.72453514739229,intro,intro,intro
36,13.049614512471654,intro,intro,intro
37,13.421133786848072,intro,intro,intro
38,13.79265306122449,intro,intro,intro
39,14.164172335600908,intro,intro,intro
40,14.489251700680272,intro,intro,intro
41,14.814331065759637,intro,intro,intro
42,15.185850340136055,intro,intro,intro
43,15.51092970521542,intro,intro,intro
44,15.882448979591837,intro,intro,intro
45,16.253968253968253,intro,intro,intro
46,16.579047619047618,intro,intro,intro
47,16.950566893424035,intro,intro,intro
48,17.322086167800453,intro,verse,intro
49,17.647165532879818,intro,verse,intro
50,18.018684807256236,intro,intro,intro
51,18.390204081632653,intro,intro,intro
52,18.76172335600907,intro,intro,intro
53,19.13324263038549,intro,verse,intro
54,19.458321995464853,intro,intro,intro
55,19.82984126984127,intro,intro,intro
56,20.201360544217685,intro,intro,intro
57,20.572879818594103,intro,intro,intro
58,20.897959183673468,intro,intro,intro
59,21.269478458049885,intro,intro,intro
60,21.640997732426303,intro,intro,intro
61,22.01251700680272,intro,intro,intro
62,22.38403628117914,intro,intro,intro
63,22.755555555555556,intro,intro,intro
64,23.127074829931974,intro,intro,intro
65,23.49859410430839,intro,intro,intro
66,23.870113378684806,intro,intro,intro
67,24.241632653061224,intro,intro,intro
68,24.61315192743764,intro,intro,intro
69,24.98467120181406,intro,intro,intro
70,25.309750566893424,intro,intro,intro
71,25.68126984126984,intro,intro,intro
72,26.05278911564626,intro,intro,intro
73,26.424308390022677,intro,intro,intro
74,26.749387755102042,intro,intro,intro
75,27.12090702947846,intro,intro,intro
76,27.492426303854874,intro,intro,intro
77,27.86394557823129,intro,intro,intro
78,28.23546485260771,intro,intro,intro
79,28.606984126984127,intro,intro,intro
80,28.978503401360545,intro,intro,intro
81,29.350022675736962,intro,intro,intro
82,29.72154195011338,intro,intro,intro
83,30.093061224489794,intro,intro,intro
84,30.464580498866212,intro,intro,intro
85,30.83609977324263,intro,intro,intro
86,31.207619047619048,intro,intro,intro
87,31.579138321995465,intro,intro,intro
88,31.997097505668933,intro,intro,intro
89,32.36861678004535,intro,intro,intro
90,32.74013605442177,intro,intro,intro
91,33.111655328798186,intro,intro,intro
92,33.52961451247165,intro,intro,intro
93,33.90113378684807,intro,intro,intro
94,34.27265306122449,intro,intro,intro
95,34.644172335600906,intro,intro,intro
96,35.062131519274374,intro,intro,intro
97,35.48009070294785,intro,intro,intro
98,35.851609977324266,intro,intro,intro
99,36.17668934240363,intro,intro,intro
100,36.548208616780045,intro,intro,intro
101,36.91972789115646,intro,intro,intro
102,37.24480725623583,intro,intro,intro
103,37.61632653061225,intro,intro,intro
104,37.98784580498866,intro,intro,intro
105,38.35936507936508,intro,intro,intro
106,38.730884353741494,intro,intro,intro
107,39.10240362811791,intro,intro,intro
108,39.52036281179139,intro,intro,intro
109,39.938321995464854,intro,intro,intro
110,40.35628117913832,intro,intro,intro
111,40.77424036281179,intro,intro,intro
112,41.19219954648526,intro,intro,intro
113,41.61015873015873,intro,intro,intro
114,42.0281179138322,intro,intro,intro
115,42.44607709750567,intro,intro,intro
116,42.77115646258503,intro,intro,intro
117,43.14267573696145,intro,intro,intro
118,43.51419501133787,intro,intro,intro
119,43.885714285714286,intro,intro,intro
120,44.257233560090704,intro,intro,intro
121,44.62875283446712,intro,intro,intro
122,45.00027210884354,intro,intro,intro
123,45.41823129251701,intro,intro,intro
124,45.789750566893424,intro,verse,intro
125,46.20770975056689,intro,intro,intro
126,46.57922902494331,intro,intro,intro
127,46.95074829931973,intro,intro,intro
128,47.322267573696145,intro,intro,intro
129,47.69378684807256,intro,intro,intro
130,48.06530612244898,intro,intro,intro
131,48.4368253968254,intro,intro,intro
132,48.808344671201816,intro,intro,intro
133,49.179863945578234,intro,intro,intro
134,49.55138321995465,intro,intro,intro
135,49.92290249433107,intro,intro,intro
136,50.29442176870748,intro,intro,intro
137,50.6659410430839,intro,intro,intro
138,51.037460317460315,intro,intro,intro
139,51.40897959183673,intro,verse,verse
140,51.78049886621315,intro,verse,verse
141,52.15201814058957,intro,verse,verse
142,52.523537414965986,intro,verse,verse
143,52.895056689342404,intro,verse,verse
144,53.26657596371882,intro,verse,verse
145,53.63809523809524,intro,verse,verse
146,54.00961451247166,intro,verse,verse
147,54.427573696145124,intro,intro,intro
148,54.79909297052154,intro,intro,intro
149,55.21705215419501,intro,intro,intro
150,55.58857142857143,intro,intro,intro
151,56.006530612244894,intro,intro,intro
152,56.42448979591837,intro,intro,intro
153,56.79600907029479,intro,intro,intro
154,57.213968253968254,intro,intro,intro
155,57.58548752834467,intro,intro,intro
156,58.00344671201814,intro,intro,intro
157,58.42140589569161,intro,intro,intro
158,58.792925170068024,intro,intro,intro
159,59.2108843537415,intro,intro,intro
160,59.582403628117916,intro,intro,intro
161,60.00036281179138,intro,intro,intro
162,60.3718820861678,intro,intro,intro
163,60.78984126984127,intro,intro,intro
164,61.207800453514736,intro,intro,intro
165,61.57931972789115,intro,intro,intro
166,61.99727891156463,intro,intro,intro
167,62.415238095238095,intro,intro,intro
168,62.78675736961451,intro,intro,intro
169,63.20471655328798,intro,intro,intro
170,63.5762358276644,intro,intro,intro
171,63.994195011337865,intro,intro,intro
172,64.41215419501134,intro,verse,intro
173,64.78367346938775,intro,intro,intro
174,65.20163265306122,intro,intro,intro
175,65.57315192743764,intro,verse,intro
176,65.94467120181406,intro,verse,intro
177,66.31619047619047,intro,intro,intro
178,66.6877097505669,intro,verse,intro
179,67.10566893424036,intro,verse,intro
180,67.47718820861678,intro,intro,intro
181,67.89514739229026,intro,intro,intro
182,68.31310657596372,intro,intro,intro
183,68.68462585034014,intro,intro,intro
184,69.1025850340136,intro,intro,intro
185,69.52054421768707,intro,intro,intro
186,69.89206349206349,intro,intro,intro
187,70.26358276643991,intro,verse,intro
188,70.63510204081632,intro,intro,intro
189,71.0530612244898,intro,intro,intro
190,71.42458049886622,intro,intro,intro
191,71.84253968253968,intro,intro,intro
192,72.2140589569161,intro,intro,intro
193,72.58557823129252,intro,verse,intro
194,73.00353741496599,intro,verse,intro
195,73.3750566893424,intro,intro,intro
196,73.74657596371883,intro,intro,intro
197,74.11809523809524,intro,intro,intro
198,74.53605442176871,intro,intro,intro
199,74.95401360544217,intro,intro,intro
200,75.3255328798186,intro,intro,intro
201,75.74349206349207,intro,intro,intro
202,76.11501133786848,intro,intro,intro
203,76.48653061224489,intro,intro,intro
204,76.90448979591837,intro,intro,intro
205,77.32244897959184,intro,intro,intro
206,77.69396825396825,intro,intro,intro
207,78.06548752834468,intro,intro,intro
208,78.48344671201814,intro,verse,intro
209,78.90140589569161,intro,verse,intro
210,79.27292517006802,intro,intro,intro
211,79.64444444444445,intro,intro,intro
212,80.06240362811792,intro,intro,intro
213,80.48036281179138,intro,intro,intro
214,80.8518820861678,intro,intro,intro
215,81.26984126984127,intro,verse,verse
216,81.64136054421769,intro,verse,verse
217,82.05931972789115,intro,verse,verse
218,82.43083900226758,intro,verse,verse
219,82.80235827664399,intro,verse,verse
220,83.17387755102041,intro,verse,verse
221,83.59183673469387,chorus,chorus,verse
222,83.9633560090703,chorus,chorus,verse
223,84.3348752834467,chorus,verse,verse
224,84.70639455782313,chorus,chorus,verse
225,85.1243537414966,chorus,verse,verse
226,85.49587301587302,chorus,chorus,chorus
227,85.86739229024943,chorus,chorus,chorus
228,86.2853514739229,chorus,chorus,chorus
229,86.70331065759638,chorus,chorus,chorus
230,87.12126984126984,chorus,chorus,chorus
231,87.49278911564626,chorus,chorus,chorus
232,87.91074829931972,chorus,chorus,chorus
233,88.28226757369615,chorus,chorus,chorus
234,88.70022675736962,chorus,verse,verse
235,89.07174603174603,chorus,verse,verse
236,89.4897052154195,chorus,verse,verse
237,89.90766439909297,chorus,verse,verse
238,90.27918367346939,chorus,verse,verse
239,90.6507029478458,chorus,verse,verse
240,91.02222222222223,chorus,chorus,verse
241,91.44018140589569,chorus,chorus,verse
242,91.81170068027211,chorus,chorus,verse
243,92.18321995464852,chorus,verse,verse
244,92.601179138322,chorus,verse,verse
245,93.01913832199547,chorus,chorus,chorus
246,93.43709750566893,chorus,chorus,chorus
247,93.8550566893424,chorus,chorus,chorus
248,94.27301587301588,chorus,chorus,chorus
249,94.64453514739229,chorus,chorus,chorus
250,95.06249433106576,chorus,chorus,chorus
251,95.43401360544217,chorus,chorus,chorus
252,95.85197278911565,chorus,chorus,chorus
253,96.26993197278911,chorus,chorus,chorus
254,96.64145124716553,chorus,verse,chorus
255,97.05941043083901,chorus,verse,chorus
256,97.43092970521542,chorus,verse,chorus
257,97.80244897959183,chorus,chorus,chorus
258,98.1275283446712,chorus,chorus,chorus
259,98.49904761904762,chorus,chorus,chorus
260,98.87056689342404,chorus,chorus,chorus
261,99.24208616780045,chorus,verse,chorus
262,99.61360544217688,chorus,verse,chorus
263,99.98512471655329,chorus,verse,chorus
264,100.35664399092971,chorus,chorus,chorus
265,100.72816326530612,chorus,chorus,chorus
266,101.09968253968253,chorus,chorus,chorus
267,101.47120181405896,chorus,chorus,chorus
268,101.88916099773243,chorus,chorus,chorus
269,102.30712018140589,chorus,chorus,chorus
270,102.67863945578232,chorus,chorus,chorus
271,103.09659863945578,chorus,chorus,chorus
272,103.4681179138322,chorus,chorus,chorus
273,103.88607709750566,chorus,chorus,chorus
274,104.25759637188209,chorus,chorus,chorus
275,104.6291156462585,chorus,chorus,chorus
276,105.04707482993197,chorus,chorus,chorus
277,105.41859410430838,chorus,chorus,chorus
278,105.83655328798186,chorus,chorus,chorus
279,106.25451247165533,chorus,chorus,chorus
280,106.67247165532879,chorus,chorus,chorus
281,107.04399092970522,chorus,chorus,chorus
282,107.46195011337869,chorus,chorus,chorus
283,107.8334693877551,chorus,verse,chorus
284,108.25142857142858,chorus,chorus,chorus
285,108.62294784580499,chorus,chorus,chorus
286,108.99446712018141,chorus,chorus,chorus
287,109.41242630385487,chorus,chorus,chorus
288,109.7839455782313,chorus,verse,chorus
289,110.15546485260771,chorus,verse,chorus
290,110.52698412698413,chorus,verse,chorus
291,110.89850340136054,chorus,chorus,chorus
292,111.27002267573697,chorus,chorus,chorus
293,111.64154195011338,chorus,chorus,chorus
294,112.01306122448979,chorus,chorus,chorus
295,112.38458049886621,chorus,chorus,chorus
296,112.75609977324262,chorus,chorus,chorus
297,113.12761904761905,chorus,chorus,chorus
298,113.49913832199546,chorus,chorus,chorus
299,113.87065759637188,chorus,chorus,chorus
300,114.19573696145125,chorus,chorus,chorus
301,114.56725623582767,chorus,chorus,chorus
302,114.93877551020408,chorus,chorus,chorus
303,115.35673469387756,chorus,chorus,chorus
304,115.77469387755102,chorus,chorus,chorus
