Beat,Beat Time,True Label,Predicted Label,Filtered Label
0,0.3250793650793651,intro,intro,intro
1,0.8359183673469388,intro,intro,intro
2,1.3467573696145125,intro,intro,intro
3,1.8575963718820863,intro,intro,intro
4,2.36843537414966,intro,intro,intro
5,2.8792743764172335,intro,intro,intro
6,3.3901133786848074,intro,intro,intro
7,3.900952380952381,intro,intro,intro
8,4.4117913832199545,intro,intro,intro
9,4.922630385487528,intro,intro,intro
10,5.433469387755102,intro,intro,intro
11,5.944308390022676,intro,intro,intro
12,6.455147392290249,intro,intro,intro
13,6.965986394557823,intro,intro,intro
14,7.476825396825397,intro,intro,intro
15,7.987664399092971,intro,intro,intro
16,8.498503401360544,intro,intro,intro
17,9.009342403628118,intro,intro,intro
18,9.520181405895691,intro,verse,intro
19,10.031020408163265,intro,intro,intro
20,10.541859410430838,intro,intro,intro
21,11.052698412698414,intro,intro,intro
22,11.563537414965987,intro,intro,intro
23,12.027936507936507,intro,intro,intro
24,12.538775510204081,intro,intro,intro
25,13.049614512471654,intro,intro,intro
26,13.56045351473923,intro,intro,intro
27,14.02485260770975,intro,intro,intro
28,14.535691609977324,intro,intro,intro
29,15.046530612244897,intro,intro,intro
30,15.557369614512472,intro,verse,verse
31,16.068208616780044,intro,verse,verse
32,16.532607709750568,intro,verse,verse
33,16.99700680272109,verse,verse,verse
34,17.554285714285715,verse,verse,verse
35,18.018684807256236,verse,verse,verse
36,18.483083900226756,verse,verse,verse
37,18.99392290249433,verse,verse,verse
38,19.458321995464853,verse,verse,verse
39,19.969160997732427,verse,verse,verse
40,20.48,verse,verse,verse
41,20.990839002267574,verse,verse,verse
42,21.455238095238094,verse,verse,verse
43,21.91963718820862,verse,verse,verse
44,22.430476190476192,verse,verse,verse
45,22.894875283446712,verse,verse,verse
46,23.405714285714286,verse,verse,verse
47,23.91655328798186,verse,verse,verse
48,24.427392290249433,verse,verse,verse
49,24.938231292517006,verse,verse,verse
50,25.44907029478458,verse,verse,verse
51,25.959909297052153,verse,verse,verse
52,26.424308390022677,verse,chorus,verse
53,26.93514739229025,verse,verse,verse
54,27.445986394557824,verse,verse,verse
55,27.956825396825398,verse,verse,verse
56,28.421224489795918,verse,verse,verse
57,28.93206349206349,verse,verse,verse
58,29.442902494331065,verse,verse,verse
59,29.95374149659864,verse,verse,verse
60,30.464580498866212,verse,verse,verse
61,30.928979591836736,verse,verse,verse
62,31.43981859410431,verse,verse,verse
63,31.90421768707483,verse,verse,verse
64,32.41505668934241,verse,verse,verse
65,32.92589569160998,verse,verse,verse
66,33.436734693877554,verse,verse,verse
67,33.90113378684807,verse,verse,verse
68,34.411972789115644,verse,verse,verse
69,34.92281179138322,verse,verse,verse
70,35.43365079365079,verse,verse,verse
71,35.898049886621315,verse,verse,verse
72,36.40888888888889,verse,verse,verse
73,36.91972789115646,verse,verse,verse
74,37.430566893424036,verse,verse,verse
75,37.94140589569161,verse,verse,verse
76,38.40580498866213,verse,verse,verse
77,38.91664399092971,verse,verse,verse
78,39.381043083900224,verse,verse,verse
79,39.8918820861678,verse,verse,verse
80,40.40272108843537,verse,verse,verse
81,40.91356009070295,verse,verse,verse
82,41.37795918367347,verse,verse,verse
83,41.88879818594104,verse,verse,verse
84,42.353197278911566,verse,verse,verse
85,42.86403628117914,verse,verse,verse
86,43.37487528344671,verse,verse,verse
87,43.885714285714286,verse,verse,verse
88,44.39655328798186,verse,verse,verse
89,44.860952380952384,verse,verse,verse
90,45.3253514739229,verse,verse,verse
91,45.836190476190474,verse,verse,verse
92,46.34702947845805,verse,verse,verse
93,46.85786848072562,verse,verse,verse
94,47.368707482993194,verse,verse,verse
95,47.83310657596372,verse,verse,verse
96,48.29750566893424,verse,verse,verse
97,48.808344671201816,verse,verse,verse
98,49.27274376417233,verse,verse,verse
99,49.783582766439906,verse,verse,verse
100,50.29442176870748,verse,verse,verse
101,50.80526077097505,verse,verse,verse
102,51.316099773242634,verse,no_function,verse
103,51.78049886621315,verse,verse,verse
104,52.291337868480724,verse,verse,verse
105,52.8021768707483,verse,verse,verse
106,53.31301587301587,verse,verse,verse
107,53.777414965986395,verse,verse,verse
108,54.28825396825397,verse,verse,verse
